Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",18.000000,-6.000000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",26.000000,-6.000000,-90.000000,top
"D1","LED","LED_D3.0mm",17.430000,-72.800000,0.000000,top
"J1","5V IN","PinHeader_1x02_P2.54mm_Vertical",12.000000,-8.000000,0.000000,top
"J2","IN N1 N2 N3","PinHeader_1x04_P2.54mm_Vertical",34.000000,-6.000000,0.000000,top
"Q1","2N7000","TO-92_Inline_Wide",6.000000,-32.160000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",16.160000,-32.160000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",26.320000,-32.160000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",36.480000,-32.160000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",46.640000,-32.160000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",56.800000,-32.160000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",66.960000,-32.160000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",77.120000,-32.160000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",87.280000,-32.160000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",97.440000,-32.160000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",6.000000,-52.480000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",16.160000,-52.480000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",26.320000,-52.480000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",36.480000,-52.480000,0.000000,top
"Q15","2N7000","TO-92_Inline_Wide",46.640000,-52.480000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",56.800000,-52.480000,0.000000,top
"Q17","2N7000","TO-92_Inline_Wide",66.960000,-52.480000,0.000000,top
"Q18","2N7000","TO-92_Inline_Wide",77.120000,-52.480000,0.000000,top
"Q19","2N7000","TO-92_Inline_Wide",87.280000,-52.480000,0.000000,top
"Q20","2N7000","TO-92_Inline_Wide",87.280000,-57.560000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",87.280000,-62.640000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",97.440000,-52.480000,0.000000,top
"Q23","2N7000","TO-92_Inline_Wide",97.440000,-57.560000,0.000000,top
"Q24","2N7000","TO-92_Inline_Wide",97.440000,-62.640000,0.000000,top
"Q25","2N7000","TO-92_Inline_Wide",6.000000,-65.180000,0.000000,top
"Q26","2N7000","TO-92_Inline_Wide",16.160000,-77.880000,0.000000,top
"R1","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",42.000000,-6.000000,-90.000000,top
"R2","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-6.000000,-90.000000,top
